ds,search_filter,url,title,type,location,guests,bedrooms,beds,is_studio,baths,half_baths,shared_baths,price,avg_rating,n_reviews,gym_bool,wifi_bool,self_check_in_bool,air_conditioning_bool,pets_allowed_bool,indoor_fireplace_bool,hot_tub_bool,free_parking_bool,pool_bool,kitchen_bool,breakfast_bool,elevator_bool,washer_bool,dryer_bool,heating_bool,waterfront_bool,dishwasher_bool,beachfront_bool,ski_in_ski_out_bool,terrace_bool,sonos_sound_system_bool,bbq_grill_bool,hair_dryer_bool,chefs_kitchen_bool
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/45922230,Luxuries Apartment at Luxuries Complex,Entire apartment,Al Khobar,3.0,2,3.0,False,3.0,,,145.0,5.0,20.0,,True,,True,,,,,True,True,,,,,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/41146741,Nozol Apartment,Entire apartment,Al Khobar,6.0,2,6.0,False,1.0,,,96.0,4.91,11.0,,,,True,,,,True,,True,,,True,,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/46294085,دخول ذكي Home,Entire apartment,Al Khobar,,1,,False,1.0,,,87.0,4.76,25.0,,,,True,True,,,True,,True,,,,,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/39144903,Easy to reach ..البركه,Entire apartment,Dammam,,1,,False,2.0,,,120.0,4.94,17.0,,,,True,,,,True,,True,True,,,,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/46460208,Anna Apartments,Entire apartment,Al Khobar,2.0,2,2.0,False,1.5,,,121.0,5.0,13.0,,True,,True,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/44621864,Al-Waha 5 ((شقق عائلية)),Entire apartment,Dammam,0.0,2,0.0,False,1.0,,,58.0,5.0,6.0,,True,,True,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/35534870,Luxurious peaceful  Private apartment,Entire apartment,Dammam,2.0,1,2.0,False,1.0,,,28.0,4.44,16.0,,,,True,,,,True,,,,True,,True,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/47752629,Private Cozy Apartment in a great location,Entire apartment,Al Khobar,4.0,2,4.0,False,2.0,,,74.0,,,,True,True,True,,,,True,,,,,,,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/43058943,الدمام /حي الزهور قريب من كورنيش الدمام /خلف نايس,Entire apartment,Dammam,4.0,2,4.0,False,1.0,,,59.0,,,,,,True,,,,,,True,,,True,,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/47344497,Spacious Appt. with good location,Entire apartment,Al Khobar,4.0,2,4.0,False,2.0,,,89.0,,,,,,True,True,,,True,,True,,,,,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/41617120,The Stranger room,Private room,Dammam,,1,,False,,,,53.0,4.76,34.0,,,True,True,,,,True,,,,True,,,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/32408330,Shamsoon Suits,Private room,Al Khobar,,1,,False,,,,40.0,5.0,7.0,,True,,True,,,,,,True,,True,,,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/38411588,Elegant & Modern flat in  Dammam Corniche,Entire apartment,Dammam,2.0,2,2.0,False,1.0,,,115.0,4.94,18.0,,True,,True,,,,,,True,,True,,,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/42537446,قريبه من البحر بحي العزيزيه  دور واحد تصميم ريفي,Entire bungalow,Aziziah,5.0,1,5.0,False,1.0,,,150.0,4.9,10.0,,,,True,True,,,True,,True,,,,,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/41037539,الأجنحة الذهبية Golden Suites monthly rent,Entire apartment,Al Khobar,0.0,1,0.0,False,1.0,,,800.0,,,,True,,True,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/47024109,Private apartment دخول ذكي,Entire loft,Al Khobar,,1,,False,1.0,,,91.0,,,,True,,True,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/41687233,( شقق عائلية ) Al-Waha 13,Entire apartment,Dammam,4.0,2,4.0,False,1.0,,,70.0,4.75,9.0,,True,,True,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/46829566,شقة كاملة Apartment,Entire apartment,Al Khobar,,1,,False,1.0,,,66.0,,,,True,,True,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/45358267,Family House with Private Entrance - Ithra,Entire house,Dhahran,3.0,2,3.0,False,2.0,,,83.0,5.0,9.0,,True,,True,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 03:52:47.315742,,http://airbnb.com/rooms/45809064,عمارة سكنية، بالقرب منها جميع الخدمات والراشد مول,Entire apartment,Al Khobar,3.0,2,3.0,False,2.0,,,109.0,4.91,11.0,,,,True,,,,True,,True,,True,,,,,,,,,,,,
2021-01-20 03:52:48.889809,,http://airbnb.com/rooms/44448274,Building 4,Entire serviced apartment,Al Khobar,,1,,False,1.0,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 03:52:48.889809,,http://airbnb.com/rooms/45358267,Family House with Private Entrance - Ithra,Entire house,Dhahran,3.0,2,3.0,False,2.0,,,83.0,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
