ds,search_filter,url,title,type,location,guests,bedrooms,beds,is_studio,baths,half_baths,shared_baths,price,avg_rating,n_reviews,gym_bool,wifi_bool,self_check_in_bool,air_conditioning_bool,pets_allowed_bool,indoor_fireplace_bool,hot_tub_bool,free_parking_bool,pool_bool,kitchen_bool,breakfast_bool,elevator_bool,washer_bool,dryer_bool,heating_bool,waterfront_bool,dishwasher_bool,beachfront_bool,ski_in_ski_out_bool,terrace_bool,sonos_sound_system_bool,bbq_grill_bool,hair_dryer_bool,chefs_kitchen_bool
2021-01-20 04:13:49.541603,,http://airbnb.com/rooms/47145509,Jeddah 28th Red sea view  DAMAC Al Jawharah,Entire loft,Jeddah,,1,,False,1.5,,,343.0,5.0,12.0,,,True,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:49.541603,,http://airbnb.com/rooms/38256252,Apartment with fantastic sea and city view,Entire apartment,Jeddah,3.0,1,3.0,False,1.5,,,147.0,4.79,75.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:49.541603,,http://airbnb.com/rooms/47508856,High-rise Luxury Apartment With Stunning City View,Entire condominium,Jeddah,2.0,2,2.0,False,2.0,,,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:49.541603,,http://airbnb.com/rooms/46711454,Stylish apartment in a great location,Entire apartment,Jeddah,2.0,2,2.0,False,1.0,,,70.0,4.71,7.0,,,True,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:49.541603,,http://airbnb.com/rooms/45720071,Luxury VIP SUITE Apartment (Private Building),Entire serviced apartment,Jeddah,2.0,1,2.0,False,1.0,,,92.0,4.9,21.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:49.541603,,http://airbnb.com/rooms/47311405,Cozy Studio Apartment,Entire apartment,Jeddah,,0,,True,1.0,,,68.0,5.0,7.0,,,True,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:49.541603,,http://airbnb.com/rooms/47400690,شقه هادئه جديده واشتراك مجاني بنتفليكس قلب جده,Entire apartment,Jeddah,2.0,2,2.0,False,1.5,,,84.0,5.0,3.0,,,True,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:49.541603,,http://airbnb.com/rooms/44305373,شقة الدور  17,Entire apartment,Jeddah,,1,,False,2.0,,,195.0,4.88,17.0,,,True,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:49.541603,,http://airbnb.com/rooms/47090732,Luxury VIP SUITE Apartment  (Private Building),Entire apartment,Jeddah,2.0,1,2.0,False,1.0,,,93.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:49.541603,,http://airbnb.com/rooms/44683311,Private Cozy Apartment,Entire apartment,Jeddah,,1,,False,2.0,,,59.0,4.74,53.0,,,True,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:49.541603,,http://airbnb.com/rooms/46466961,Sunset apartment,Entire house,Jeddah,,1,,False,1.0,,,120.0,4.92,24.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:49.541603,,http://airbnb.com/rooms/46055082,Clean beautiful large place at a prime location,Entire apartment,Jeddah,4.0,3,4.0,False,2.5,,,80.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
