ds,search_filter,url,title,type,location,guests,bedrooms,beds,is_studio,baths,half_baths,shared_baths,price,avg_rating,n_reviews,gym_bool,wifi_bool,self_check_in_bool,air_conditioning_bool,pets_allowed_bool,indoor_fireplace_bool,hot_tub_bool,free_parking_bool,pool_bool,kitchen_bool,breakfast_bool,elevator_bool,washer_bool,dryer_bool,heating_bool,waterfront_bool,dishwasher_bool,beachfront_bool,ski_in_ski_out_bool,terrace_bool,sonos_sound_system_bool,bbq_grill_bool,hair_dryer_bool,chefs_kitchen_bool
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/34826867,Modern CHALET,Entire chalet,Riyadh,,1,,False,1.0,,,259.0,4.44,132.0,,,,True,,,,True,True,,,,,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/31235237,ALQIRWAN modern chalet,Entire chalet,Riyadh,0.0,1,0.0,False,1.0,,,156.0,4.55,159.0,,,True,True,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/47323070,Fully Furnished Apartment With One Bedroom,Entire apartment,Riyadh,,1,,False,1.0,,,169.0,5.0,3.0,,True,True,True,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/45265018,Marvelous Chalet شاليه مارفيلوس,Entire chalet,Riyadh,0.0,1,0.0,False,1.0,,,223.0,3.46,13.0,,,,True,,,,True,True,True,,,,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/42417009,FENDI Designed luxury sky view apartment,Entire apartment,Riyadh,,1,,False,1.5,,,417.0,5.0,7.0,,,True,True,,,,,,,True,True,,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/37027899,2 Bedrooms Apartment With Private Entrance,Entire apartment,Riyadh,2.0,2,2.0,False,1.0,,,187.0,4.85,81.0,,True,True,True,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/46678736,Luxury andalusi chalet,Entire chalet,Riyadh,,1,,False,1.5,,,259.0,4.17,6.0,,,True,True,,True,True,,,,,,,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/44636083,Cozy Condo in an ‏Elegant Complex شقة في مجمع سكني,Entire apartment,Riyadh,,1,,False,1.5,,,178.0,4.88,25.0,,,,True,,,,True,,True,,True,,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/44307959,Damac Fendi Tower,Room,boutique hotel,,1,,False,,,,202.0,4.96,54.0,,True,True,True,,,,,,,,,True,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/47153368,Cozy Apartment with Privet Entrance. Self Check-in,Entire apartment,Riyadh,,1,,False,1.5,,,137.0,5.0,12.0,,True,True,True,,,,,,,True,,,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/39876420,Private Entrance Apartment with Two Bedroom,Entire apartment,Riyadh,2.0,2,2.0,False,1.0,,,189.0,4.79,80.0,,True,True,True,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/44383884,شقة فاخرة الملقا (Apartment With Private Entrance),Entire apartment,Riyadh,,1,,False,1.0,,,159.0,4.88,17.0,,True,True,True,True,,,,,,,,,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/39148677,Luxury Findi furnished Studio in Damac towers,Entire condominium,Riyadh,,1,,False,1.5,,,200.0,5.0,4.0,True,,,True,,,,,,,,True,True,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/44992072,شقة  1  مع مدخل خاص دخول ذكي,Entire apartment,Riyadh,,1,,False,1.0,,,107.0,4.73,37.0,,True,True,True,,True,,,,,,,,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/45871993,شقه خاصه ( ملك ) ViP .. جديده دخول ذكي وسهل ومرن,Entire apartment,Riyadh,,1,,False,3.0,,,223.0,5.0,29.0,,True,True,True,,,,,,,,True,,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/40877814,7 Stars Studio in Damac,Entire apartment,Riyadh,,1,,False,1.0,,,238.0,4.95,19.0,,True,True,True,,,,,,,,True,,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/40618966,New 2BD Luxury Apt nearby Albustan Compound,Entire apartment,Riyadh,0.0,2,0.0,False,1.5,,,101.0,,,,True,,True,,,,,,,,True,True,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/17553400,Appartmen with Private entrance not shared,Entire apartment,Riyadh,0.0,2,0.0,False,1.0,,,121.0,4.73,153.0,,True,True,True,True,,,,,,,,,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/39131309,The Yellow Door,Entire guest suite,Riyadh,0.0,1,0.0,False,1.0,,,145.0,5.0,26.0,,True,True,True,,,,True,,,,,,,,,,,,,,,,
2021-01-20 04:14:08.745592,iyadh,http://airbnb.com/rooms/39818265,Luxury villa with Pool,Entire villa,Riyadh,6.0,4,6.0,False,4.5,,,200.0,,,,,,True,,,,True,True,True,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/46230956,شقة فاخرة مؤثثة حديثا تنعم بالخصوصية و الهدوء,Entire apartment,Riyadh,,1,,False,1.0,,,153.0,4.71,7.0,,,,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/31061656,Apartment With Private Entrance,Entire apartment,Riyadh,,1,,False,1.0,,,169.0,4.78,188.0,,,True,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/37088600,One Bedroom Apartment with Private Entrance,Entire apartment,Riyadh,,1,,False,1.0,,,169.0,4.86,91.0,,,True,,,,,,,True,,,,,,,,,,,,,,
