ds,search_filter,url,title,type,location,guests,bedrooms,beds,is_studio,baths,half_baths,shared_baths,price,avg_rating,n_reviews,gym_bool,wifi_bool,self_check_in_bool,air_conditioning_bool,pets_allowed_bool,indoor_fireplace_bool,hot_tub_bool,free_parking_bool,pool_bool,kitchen_bool,breakfast_bool,elevator_bool,washer_bool,dryer_bool,heating_bool,waterfront_bool,dishwasher_bool,beachfront_bool,ski_in_ski_out_bool,terrace_bool,sonos_sound_system_bool,bbq_grill_bool,hair_dryer_bool,chefs_kitchen_bool
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/44402588,Cozy Relaxing & Study Room (Private Compound),Entire guesthouse,Riyadh,,1,,False,1.0,,,32.0,4.69,26.0,,True,True,True,,,,,,,,,True,,,,,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/38949067,Villa near from alharm,Entire villa,Makkah,2.0,2,2.0,False,2.0,,,1333.0,,,,,,True,True,,,,,True,,,True,,,,,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/40618966,New 2BD Luxury Apt nearby Albustan Compound,Entire apartment,Riyadh,0.0,2,0.0,False,1.5,,,101.0,,,,True,,True,,,,,,,,True,True,,,,,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/31325470,Lamar Ajyad hotel Triple Room,Hotel room,Makkah,3.0,1,3.0,False,1.0,,,2666.0,,,,True,,True,,,,True,,,True,,,,,,,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/46711454,Stylish apartment in a great location,Entire apartment,Jeddah,2.0,2,2.0,False,1.0,,,70.0,4.71,7.0,,True,True,True,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/44683311,Private Cozy Apartment,Entire apartment,Jeddah,,1,,False,2.0,,,59.0,4.74,53.0,,True,True,True,,,,,,,,True,,,,,,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/45856403,High Class Practical Apartment,Entire apartment,Jeddah,,2,,False,1.0,,,59.0,4.86,22.0,,True,True,True,,,,,,,,True,,,,,,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/32275640,Almost new private Studio set-up for Professionals,Entire house,Riyadh,,1,,False,1.0,,,29.0,4.67,9.0,,True,,True,,,,,,True,,,True,,,,,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/47311405,Cozy Studio Apartment,Entire apartment,Jeddah,,0,,True,1.0,,,68.0,5.0,7.0,,True,True,True,,,,True,,,,,,,,,,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/40163055,"ADAR HOMES at alshurooq , KAEC",Hotel room,King Abdullah Economic City,2.0,1,2.0,False,,,,41.0,4.83,12.0,True,,,True,,True,,,,,,True,,,,,,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/34478282,Alnada Bedroom with Private Bathroom & Access,Private room,Riyadh,,1,,False,,,,37.0,4.96,26.0,,True,,True,,,,,,,,True,True,,,,,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/38954595,"Expat Friendly, walking distance to all services",Entire apartment,Al Kharj,,1,,False,1.0,,,15.0,,,,,,True,True,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/24788206,small room near waterfront غرفه صغيرة بمطبخ,Entire apartment,Jeddah,,1,,False,1.0,,,32.0,4.36,109.0,,True,,True,,,,,,,,,True,True,,,,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/40497299,Unique studio with private ROOF&JACUZZI&FREE WIFI,Entire apartment,Jeddah,2.0,0,2.0,True,1.0,,,56.0,4.77,35.0,,True,True,True,,,,,,,,True,,,,,,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/47762138,دارك العزيزية 2,Entire apartment,Riyadh,,1,,False,1.0,,,47.0,,,,True,,True,,,True,,,,,,True,,,,,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/34948184,جار الجبل ( للعوائل فقط ),Entire guest suite,Medina,,1,,False,1.0,,,40.0,4.5,14.0,,,,True,True,,,,,,,,True,,,,True,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/47765664,الرياض العريجاء الغربيه شارع حمزه بن عبدالمطلب,Entire apartment,Riyadh,,1,,False,1.0,,,29.0,,,,,,True,,,,,,True,,,True,True,,,,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/20023187,"Nawal cozy home 3   very small, cozy,complet nest",Tiny house,Riyadh,,1,,False,,0.0,,33.0,,,,True,,True,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/43925951,Clean Studio,Entire house,Riyadh,,1,,False,1.0,,,29.0,,,,True,,True,,,,,,True,,,True,,,,,,,,,,,
2021-01-20 04:17:11.881655,audi_arabia,http://airbnb.com/rooms/47577025,Spacious Unfurnished Apartment Downtown (عزاب),Entire apartment,Riyadh,0.0,2,0.0,False,1.0,,,37.0,,,,True,True,True,,,,,,,,True,,,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/47577025,Spacious Unfurnished Apartment Downtown (عزاب),Entire apartment,Riyadh,0.0,2,0.0,False,1.0,,,37.0,,,,True,True,True,,,,,,,,True,,,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/47709385,Luxury 1 bedroom 2 bath with a roof near Sari St.,Entire apartment,Jeddah,,1,,False,2.0,,,36.0,,,,,,True,True,,,,,True,,,True,,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/47250345,Newly furnished private place. 5 mins from airport,Entire apartment,Jeddah,3.0,2,3.0,False,1.0,,,43.0,,,,,,True,,,,,,True,,,True,True,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/47774615,Amazing Practical Apartment,Entire apartment,Makkah,,1,,False,1.0,,,48.0,,,,True,True,True,,,,,,,,True,,,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/20023187,"Nawal cozy home 3   very small, cozy,complet nest",Tiny house,Riyadh,,1,,False,,0.0,,33.0,,,,True,,True,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/40995844,شقة للايجار الشهري 3000 ريال حي الشروق KAEC,Entire apartment,King Abdullah Economic City,0.0,1,0.0,False,1.0,,,27.0,,,,,,True,,,,,,,,True,True,True,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/47755199,شقة للايجار السنوي بالرياض,Entire apartment,Riyadh,0.0,2,0.0,False,2.0,,,27.0,,,,,,,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/47582015,Peaceful & Homely Suite w/ Comfy Bed & free WiFi,Entire apartment,Jeddah,,1,,False,1.0,,,42.0,,,,True,,True,,,,,,,,True,True,,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/35534870,Luxurious peaceful  Private apartment,Entire apartment,Dammam,2.0,1,2.0,False,1.0,,,28.0,4.44,16.0,,,,True,,,,True,,,,True,,True,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/45642874,Freedom,Private room,Riyadh,0.0,0,0.0,True,,,3.0,30.0,,,,True,,True,,,,,,,,,True,True,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/43852439,Private room for females only غرفة للسيدات فقط,Private room,Jeddah,,1,,False,,,2.0,13.0,,,,True,,True,,,,,,,,True,,True,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/42871379,Building 4,Entire serviced apartment,Al Khobar,,1,,False,1.0,,,29.0,,,,True,,True,,,,,,,,,True,True,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/43941920,Immaculate Studio designed for professionals,Entire house,Riyadh,,1,,False,1.0,,,29.0,5.0,4.0,,True,,True,,,,,,True,,,True,,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/45696018,Short taxi ride to Haram. Fully furnished studio,Entire apartment,Makkah,0.0,1,0.0,False,1.0,,,26.0,,,,,,True,True,,,,,,,,True,True,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/45420062,"One room, is occupied for one year",Entire guest suite,Jeddah,2.0,2,2.0,False,1.0,,,19.0,,,,,,True,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/47540988,3 bedrooms apartment For sharing.....,Private room,King Abdullah Economic City,2.0,2,2.0,False,2.0,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/26002383,Full Furnish single Room,Private room,Al Khobar,2.0,2,2.0,False,,,,20.0,4.17,6.0,,True,,True,,,,,,,,,True,True,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/35140361,"بيتي هو بيتك تمتع 
بالهدوء والراحة",Private room,جدة,,1,,False,,,,16.0,4.0,4.0,,,,True,,,,,,,,True,True,True,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/47064109,غرفة مستقلة فيها سرير ومكيف,Private room,Jeddah,,1,,False,1.0,,,11.0,,,,,,True,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:17:15.989610,audi_arabia,http://airbnb.com/rooms/46390296,"Enjoy the sunlight    
استمتع بأشعة الشمس",Entire apartment,Jeddah,4.0,2,4.0,False,2.0,,,53.0,,,,,,True,,,,,,,True,,True,True,,,,,,,,,,
2021-01-20 04:17:19.288780,audi_arabia,http://airbnb.com/rooms/46428439,Economic Intimate Apartment,Entire apartment,Jeddah,,0,,True,1.0,,,48.0,3.5,6.0,,,True,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:17:19.288780,audi_arabia,http://airbnb.com/rooms/46286349,Nawal Cozy home,Private room,Riyadh,,1,,False,,,,41.0,5.0,4.0,,,,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:17:19.288780,audi_arabia,http://airbnb.com/rooms/46294085,دخول ذكي Home,Entire apartment,Al Khobar,,1,,False,1.0,,,87.0,4.76,25.0,,,True,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:17:19.288780,audi_arabia,http://airbnb.com/rooms/45379803,Wonderful Classic Apartment,Entire apartment,Jeddah,0.0,1,0.0,False,1.0,,,55.0,4.64,22.0,,,True,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:17:19.288780,audi_arabia,http://airbnb.com/rooms/47582015,Peaceful & Homely Suite w/ Comfy Bed & free WiFi,Entire apartment,Jeddah,,1,,False,1.0,,,42.0,,,,,,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:17:19.288780,audi_arabia,http://airbnb.com/rooms/47779128,"Private room, bathroom with separate entrance.",Private room,Jeddah,,0,,True,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:17:19.288780,audi_arabia,http://airbnb.com/rooms/43738354,S - 369 مقابل الراشد مول,Room,serviced apartment,,0,,True,,,,68.0,4.91,34.0,,,True,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:17:19.288780,audi_arabia,http://airbnb.com/rooms/39655826,Luxurious Large Apartment~ New Furniture,Entire apartment,Riyadh,2.0,2,2.0,False,2.0,,,82.0,,,,,,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:17:19.288780,audi_arabia,http://airbnb.com/rooms/46303768,بالقرب من البوليفارد، المطار، الدرعية. ايجار شهري,Entire apartment,Riyadh,,1,,False,1.0,,,31.0,,,,,,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:17:19.288780,audi_arabia,http://airbnb.com/rooms/45622950,Cozy & Beautiful apartment,Entire apartment,Riyadh,,1,,False,1.0,,,73.0,4.5,6.0,,,True,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:17:19.288780,audi_arabia,http://airbnb.com/rooms/44383884,شقة فاخرة الملقا (Apartment With Private Entrance),Entire apartment,Riyadh,,1,,False,1.0,,,159.0,4.88,17.0,,,True,,,,,,,True,,,,,,,,,,,,,,
